#nfev success eval eval_exact overlap rms
107 1 -4.918771 -5.121564 0.991179 0.449471
89 1 -5.541842 -5.946403 0.991483 0.860793
91 1 -10.290688 -10.775304 0.992933 2.163319
61 1 -4.253883 -4.662130 0.994976 1.766384
71 1 -10.072401 -10.380208 0.991275 0.721211
71 1 -13.882690 -14.276330 0.992259 1.188264
77 1 -4.428802 -4.524285 0.994252 0.303521
77 1 -11.963984 -12.292534 0.994120 1.362709
67 1 -13.546106 -14.002652 0.991776 0.850009
65 1 -1.163889 -1.282895 0.993515 0.424711
95 1 -7.602723 -7.829076 0.991326 1.741862
65 1 -9.404316 -9.809593 0.990294 0.754750
109 1 -6.591491 -6.682006 0.994578 0.433504
113 1 -7.528994 -7.737989 0.993595 0.681759
63 1 -9.916967 -10.043256 0.992469 0.523726
97 1 -3.964938 -4.117969 0.990067 0.379103
57 1 -11.692245 -12.026697 0.992808 1.027640
67 1 -9.410372 -9.646046 0.991018 0.617064
53 1 -7.258742 -7.497057 0.993651 0.747569
57 1 -12.247452 -12.615067 0.994417 0.995896
55 1 -8.998483 -9.337840 0.992209 0.783528
81 1 -3.938909 -4.118908 0.993366 0.654559
65 1 -5.282499 -5.505512 0.990333 1.013107
55 1 -7.678207 -8.044339 0.992311 1.344009
67 1 -15.752424 -16.159848 0.994704 1.428364
55 1 -6.891927 -7.101789 0.992074 0.521102
67 1 -7.925124 -8.068898 0.991576 0.431373
49 1 -12.200272 -12.473079 0.991737 0.604213
51 1 -5.373728 -5.599920 0.991611 0.446505
109 1 -5.325988 -5.576093 0.992845 0.670042
83 1 -8.930039 -9.121118 0.993665 0.868798
71 1 -11.213750 -11.738960 0.995030 2.264865
59 1 -7.034997 -7.509079 0.991564 1.125733
55 1 -15.571157 -16.015553 0.993784 1.383843
81 1 -7.589214 -7.770298 0.990409 0.395235
69 1 -10.179972 -10.498237 0.992638 0.804796
57 1 -10.566189 -10.913308 0.991855 0.756882
57 1 -6.836965 -7.482610 0.990771 1.310720
63 1 -12.978348 -13.336194 0.993468 1.238316
53 1 -5.634713 -6.025809 0.991797 0.708199
129 1 -8.005635 -8.158973 0.990288 0.774399
51 1 -4.360082 -4.594942 0.993592 0.577354
61 1 -9.019637 -9.425344 0.991903 1.095425
63 1 -12.064256 -12.542819 0.992128 1.376129
99 1 -6.656956 -6.950440 0.997599 1.919581
53 1 -11.846328 -12.155872 0.991356 0.597112
67 1 -7.043738 -7.499114 0.990518 0.806559
73 1 -17.494819 -17.796557 0.992536 0.605867
69 1 -13.633310 -14.336671 0.993459 2.782088
53 1 -9.485104 -10.086873 0.990165 1.876102
61 1 -5.495441 -5.665654 0.992295 0.539417
79 1 -11.617939 -11.998905 0.992273 1.375144
55 1 -7.270986 -7.951787 0.991092 1.150673
61 1 -12.478323 -12.922965 0.993135 0.957451
75 1 -6.670032 -6.962388 0.990219 0.804147
69 1 -8.458323 -8.756733 0.994837 0.810515
47 1 -17.316499 -17.786405 0.994739 1.230176
67 1 -13.010617 -13.586131 0.992047 2.076961
41 1 -1.488807 -2.261169 0.990063 1.532834
73 1 -12.627162 -12.988235 0.994963 1.146479
73 1 -5.986148 -6.107903 0.994414 0.413381
101 1 -8.312303 -8.692070 0.991555 1.351236
55 1 -11.528844 -11.874948 0.990511 0.720179
75 1 -10.546551 -10.788552 0.992817 1.083279
85 1 -10.633192 -10.969512 0.990089 0.784544
63 1 -13.142970 -13.908752 0.991102 1.210625
69 1 -9.269671 -9.560201 0.991055 0.653088
73 1 -9.600510 -9.835865 0.990180 0.518777
81 1 -10.364180 -10.736703 0.993047 1.511485
67 1 -6.965378 -7.157254 0.992542 0.717378
95 1 -7.707258 -8.065893 0.992481 1.063808
71 1 -7.012650 -7.213863 0.992938 0.472316
73 1 -8.168939 -8.287761 0.994258 0.374194
75 1 -3.756128 -4.050123 0.994740 0.972852
69 1 -6.758271 -6.997951 0.991858 0.882374
93 1 -8.262895 -8.527550 0.992811 0.892595
59 1 -10.075246 -10.389545 0.991039 0.831656
61 1 -11.461171 -11.838868 0.994337 0.825275
69 1 -12.840222 -13.095793 0.992885 1.237258
61 1 -11.724669 -12.000993 0.991104 1.134512
103 1 -12.141549 -12.701973 0.992513 2.908029
69 1 -11.006010 -11.433256 0.996338 2.106539
109 1 -3.936279 -4.003988 0.990213 0.191095
85 1 -5.616675 -5.912053 0.990304 0.614006
69 1 -5.752880 -6.128741 0.990922 0.866903
59 1 -3.428115 -3.650036 0.990718 0.540193
79 1 -8.740558 -9.045867 0.993213 0.806536
53 1 -24.055997 -24.687724 0.993934 1.784560
89 1 -9.391270 -9.650195 0.992899 1.448920
67 1 -2.580795 -2.981032 0.991330 0.767974
83 1 -5.848570 -6.078005 0.993214 0.743535
55 1 -13.036914 -13.320244 0.992653 0.869500
83 1 -10.732222 -10.982756 0.990359 0.751678
101 1 -7.146567 -7.357722 0.991005 1.145364
53 1 -6.243644 -6.763416 0.992886 1.803206
43 1 -19.530602 -20.040575 0.995028 2.323386
59 1 -5.709853 -5.950175 0.990935 0.526998
81 1 -7.165523 -7.538696 0.992151 1.507605
43 1 -11.315154 -11.938897 0.990308 1.850924
77 1 -9.309793 -9.452640 0.993750 0.448435
65 1 -4.444136 -4.860284 0.990970 0.893137
91 1 -8.307153 -8.427395 0.990316 0.267504
75 1 -11.919197 -12.273483 0.995032 1.453801
51 1 -8.408491 -8.759836 0.990515 0.682041
71 1 -8.722839 -9.071531 0.993374 0.898263
61 1 -8.982796 -9.451374 0.991985 1.189548
53 1 -13.751747 -14.325632 0.991731 2.116172
55 1 -8.294171 -8.882993 0.990432 1.330588
143 1 -8.387569 -8.413886 0.990350 0.099861
87 1 -7.073344 -7.238153 0.990374 0.544786
139 1 -2.528621 -2.653607 0.992437 0.603576
89 1 -8.854130 -9.003145 0.996721 1.031332
73 1 -6.106686 -6.247206 0.993064 0.403970
59 1 -2.550465 -2.985341 0.992026 1.357376
51 1 -22.514665 -22.993550 0.995668 1.776249
57 1 -9.165015 -9.498896 0.990305 0.702533
63 1 -11.933777 -12.482305 0.991048 1.928083
95 1 -9.537006 -9.675328 0.991862 0.435878
65 1 -17.605196 -18.113245 0.993904 1.432377
59 1 -11.766573 -12.251201 0.993348 2.135284
65 1 -11.028361 -11.574366 0.991123 0.897036
71 1 -4.802176 -4.996296 0.990237 0.519596
105 1 -11.554425 -11.764620 0.991804 0.596542
59 1 -5.987906 -6.422160 0.994193 1.499891
101 1 -4.799438 -4.959235 0.996729 1.260346
55 1 -10.658067 -11.196504 0.993871 2.134636
51 1 -10.378137 -10.570798 0.991055 0.701666
93 1 -8.945428 -9.263102 0.991896 1.705166
73 1 -10.112843 -10.528037 0.996329 1.770646
65 1 -6.030749 -6.249212 0.990813 0.673885
89 1 -9.136533 -9.426249 0.991972 0.710580
67 1 -7.392076 -7.781290 0.994894 1.048413
63 1 -3.894317 -4.094384 0.991501 0.518224
67 1 -8.202611 -8.666683 0.993902 2.327516
69 1 -10.719097 -11.068937 0.996573 1.762054
49 1 -16.037273 -16.608074 0.993850 1.958455
55 1 -9.123034 -9.707924 0.994495 1.581723
83 1 -11.020949 -11.480514 0.990885 0.839341
85 1 -9.118465 -9.328446 0.995043 1.011153
63 1 -9.199308 -9.526008 0.990896 0.656547
97 1 -9.395220 -9.825309 0.992991 1.062757
75 1 -4.878894 -5.035411 0.993528 0.782915
77 1 -3.127236 -3.645382 0.990001 0.993411
63 1 -9.053881 -9.298625 0.990222 0.460655
91 1 -7.611246 -7.890094 0.991994 0.532684
89 1 -8.889948 -9.205578 0.992636 0.859696
69 1 -9.782782 -10.119867 0.994132 1.183260
67 1 -9.011298 -9.370529 0.994389 1.286232
61 1 -4.222042 -4.373499 0.995281 0.781705
67 1 -7.856762 -8.056490 0.992373 0.838001
57 1 -4.336545 -4.816959 0.994091 1.853631
65 1 -11.115494 -11.608583 0.995153 1.822988
55 1 -16.996112 -17.449774 0.995328 1.413767
85 1 -13.764704 -14.214051 0.992551 0.933518
63 1 -12.881693 -13.442323 0.990551 1.676378
57 1 -16.541711 -16.916445 0.994724 1.188101
75 1 -9.943119 -10.139314 0.994491 1.307627
69 1 -13.881421 -14.095364 0.991053 0.707418
65 1 -15.354741 -15.856687 0.993044 1.412520
59 1 -14.369650 -14.919973 0.992412 1.039910
81 1 -8.079407 -8.317577 0.994658 1.013131
