2012-09-04 17:40:57 INFO:pr:simulation time is 0.000000e+00
2012-09-04 17:40:57 WARNING:statelist:state list path does not exist, creating .//states/
2012-09-04 17:40:57 INFO:pr:registering results
2012-09-04 17:40:57 INFO:pr:0 (result) searches processed
2012-09-04 17:40:57 INFO:pr:time in current state is 0.000000e+00
2012-09-04 17:40:57 INFO:pr:0 searches in the queue
2012-09-05 09:31:06 INFO:pr:found transition with time 4.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 5.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.800e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.030e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.050e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.700e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.100e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.640e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 5.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 1.010e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.310e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.300e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.180e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.520e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 2.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 3.800e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 6.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 8.000e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.630e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.600e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 9.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 1.620e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 3.050e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 9.900e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.270e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.190e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.570e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 3.200e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 1.260e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 1.400e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 4.300e-12
2012-09-05 09:31:06 INFO:pr:found transition with time 2.210e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 3.260e-11
2012-09-05 09:31:06 INFO:pr:found transition with time 4.000e-13
2012-09-05 09:31:06 INFO:pr:found transition with time 3.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.200e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 5.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.060e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.100e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 8.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.670e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.500e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.270e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.100e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.120e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 6.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.750e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 8.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 2.550e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 6.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.830e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 8.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 8.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.850e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 3.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 5.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 5.120e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 8.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 2.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 8.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.360e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.050e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 4.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 7.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.250e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 7.800e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 7.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.190e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 4.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.620e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 5.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 4.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 6.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.520e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.370e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 3.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 9.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 7.100e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.770e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.500e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 6.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 9.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 7.800e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.670e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 5.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 1.110e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.250e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 9.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.720e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 5.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.690e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 7.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 5.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.210e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 9.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 7.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.100e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 9.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 1.380e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.470e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.830e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 7.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 6.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 9.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 5.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.440e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.870e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 5.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 3.250e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.630e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 4.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.220e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.100e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 3.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.370e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.590e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.750e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 3.320e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 3.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 4.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.890e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.200e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.690e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 7.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 7.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 5.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 1.410e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.630e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 2.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.100e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.150e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 8.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.910e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 4.800e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 7.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.790e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.800e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.500e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 5.400e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 3.170e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 5.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.000e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.930e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.240e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 8.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 8.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 9.900e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 6.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.470e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 6.000e-13
2012-09-05 09:31:07 INFO:pr:found transition with time 1.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 6.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 1.140e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 5.600e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 6.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.800e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 9.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.530e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 4.300e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 5.700e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 6.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.500e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 4.200e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 6.400e-12
2012-09-05 09:31:07 INFO:pr:found transition with time 2.720e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.250e-11
2012-09-05 09:31:07 INFO:pr:found transition with time 1.370e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 6.000e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 2.120e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 3.040e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 1.300e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 4.400e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 1.490e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 6.200e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 6.300e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 2.200e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 2.810e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 1.800e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 3.700e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 2.000e-13
2012-09-05 09:31:08 INFO:pr:found transition with time 5.900e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 3.370e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 1.700e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 4.900e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 1.720e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 5.300e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 2.040e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 4.100e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 2.280e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 1.310e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 1.300e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 1.700e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 5.800e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 3.400e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 1.730e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 3.700e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 8.000e-13
2012-09-05 09:31:08 INFO:pr:found transition with time 7.300e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 3.970e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 3.660e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 2.400e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 5.100e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 3.500e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 5.300e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 4.190e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 3.200e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 1.630e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 2.900e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 2.200e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 3.260e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 7.000e-13
2012-09-05 09:31:08 INFO:pr:found transition with time 8.800e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 1.080e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 3.700e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 3.840e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 3.000e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 1.500e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 5.900e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 8.800e-12
2012-09-05 09:31:08 INFO:pr:found transition with time 1.220e-11
2012-09-05 09:31:08 INFO:pr:found transition with time 6.000e-13
2012-09-05 09:31:08 INFO:pr:found transition with time 9.000e-13
2012-09-05 09:31:08 INFO:pr:found transition with time 5.300e-12
2012-09-05 09:31:08 INFO:pr:400 (result) searches processed
2012-09-05 09:31:08 INFO:pr:Average Speedup is  0.002601
2012-09-05 09:31:08 INFO:pr:time in current state is 0.000000e+00
2012-09-05 09:31:08 INFO:pr:Total Speedup is 0.002601
2012-09-05 09:31:09 INFO:pr:currently in state 1
2012-09-05 09:31:09 INFO:pr:0 searches in the queue
2012-09-05 09:31:09 INFO:pr:making 0 searches
